,_id,name,slug,open_hours,_id_city,slug_city,_id_category,name_category,slug_category,coordinates,average_rating,rating_count,rating_specifics
0,614edd75bb9968a8d3525972,حمام تاریخی وکیل,hammam-tarikhi-shiraz,[],6140a4bd2dc2260e43ffa307,shiraz-city,612b815e2d28e7b40b49ae91,جاذبه‌ی شهری,urban_attractions,"[29.6147702, 52.5452266]",4.8,20,"{'1': 0, '2': 0, '3': 1, '4': 2, '5': 17}"
2,614eef84837b47a5692b18d7,باغ ارم,eram-garden-shiraz,"[{'start': {'hour': 8, 'min': 0}, 'end': {'hour': 20, 'min': 30}, 'day_of_week': 'saturday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 20, 'min': 30}, 'day_of_week': 'sunday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 20, 'min': 30}, 'day_of_week': 'monday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 20, 'min': 30}, 'day_of_week': 'tuesday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 20, 'min': 30}, 'day_of_week': 'wednesday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 20, 'min': 30}, 'day_of_week': 'thursday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 20, 'min': 30}, 'day_of_week': 'friday'}]",6140a4bd2dc2260e43ffa307,shiraz-city,612b815e2d28e7b40b49ae91,جاذبه‌ی شهری,urban_attractions,"[29.6360623, 52.5251428]",4.925925925925926,27,"{'1': 0, '2': 0, '3': 0, '4': 2, '5': 25}"
3,614efff9a5e04db3e9ed4f0b,خانه تاریخی منطقی نژاد,manteghinejad-historical-mansion,[],6140a4bd2dc2260e43ffa307,shiraz-city,612b815e2d28e7b40b49ae91,جاذبه‌ی شهری,urban_attractions,"[29.610914, 52.5408433]",4.454545454545454,11,"{'1': 0, '2': 0, '3': 1, '4': 4, '5': 6}"
4,614f110b837b47a5692b18d9,موزه تاریخ طبیعی و تکنولوژی دانشگاه شیراز,natural-history-technology-museum,"[{'start': {'hour': 8, 'min': 0}, 'end': {'hour': 14, 'min': 0}, 'day_of_week': 'saturday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 14, 'min': 0}, 'day_of_week': 'sunday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 14, 'min': 0}, 'day_of_week': 'monday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 14, 'min': 0}, 'day_of_week': 'tuesday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 14, 'min': 0}, 'day_of_week': 'wednesday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 14, 'min': 0}, 'day_of_week': 'thursday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 14, 'min': 0}, 'day_of_week': 'friday'}]",6140a4bd2dc2260e43ffa307,shiraz-city,612b815e2d28e7b40b49aeae,مراکز فرهنگی,Cultural_centers,"[29.5925335, 52.5721767]",4.454545454545454,11,"{'1': 0, '2': 1, '3': 1, '4': 1, '5': 8}"
5,614f2174bb9968a8d3525974,موزه نظامی باغ عفیف آباد,afif-abad-garden-military-museum,"[{'start': {'hour': 9, 'min': 0}, 'end': {'hour': 18, 'min': 0}, 'day_of_week': 'saturday'}, {'start': {'hour': 9, 'min': 0}, 'end': {'hour': 18, 'min': 0}, 'day_of_week': 'sunday'}, {'start': {'hour': 9, 'min': 0}, 'end': {'hour': 18, 'min': 0}, 'day_of_week': 'monday'}, {'start': {'hour': 9, 'min': 0}, 'end': {'hour': 18, 'min': 0}, 'day_of_week': 'tuesday'}, {'start': {'hour': 9, 'min': 0}, 'end': {'hour': 18, 'min': 0}, 'day_of_week': 'wednesday'}, {'start': {'hour': 9, 'min': 0}, 'end': {'hour': 18, 'min': 0}, 'day_of_week': 'thursday'}]",6140a4bd2dc2260e43ffa307,shiraz-city,612b815e2d28e7b40b49aeae,مراکز فرهنگی,Cultural_centers,"[29.6231997, 52.4983724]",4.5,12,"{'1': 0, '2': 1, '3': 0, '4': 3, '5': 8}"
6,614f2846a5e04db3e9ed4f0e,تخت جمشید (پرسپولیس),persepolis-of-shiraz,"[{'start': {'hour': 8, 'min': 0}, 'end': {'hour': 17, 'min': 30}, 'day_of_week': 'saturday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 17, 'min': 30}, 'day_of_week': 'sunday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 17, 'min': 30}, 'day_of_week': 'monday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 17, 'min': 30}, 'day_of_week': 'tuesday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 17, 'min': 30}, 'day_of_week': 'wednesday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 17, 'min': 30}, 'day_of_week': 'thursday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 17, 'min': 30}, 'day_of_week': 'friday'}]",6140a4bd2dc2260e43ffa307,shiraz-city,612b815e2d28e7b40b49ae91,جاذبه‌ی شهری,urban_attractions,"[29.9355247, 52.89211299999999]",4.8933333333333335,75,"{'1': 0, '2': 0, '3': 1, '4': 6, '5': 68}"
7,6151f146837b47a5692b18db,مسجد نصیر الملک,nasir-al-mulk-mosque-shiraz,"[{'start': {'hour': 7, 'min': 0}, 'end': {'hour': 17, 'min': 0}, 'day_of_week': 'saturday'}, {'start': {'hour': 7, 'min': 0}, 'end': {'hour': 17, 'min': 0}, 'day_of_week': 'sunday'}, {'start': {'hour': 7, 'min': 0}, 'end': {'hour': 17, 'min': 0}, 'day_of_week': 'monday'}, {'start': {'hour': 7, 'min': 0}, 'end': {'hour': 17, 'min': 0}, 'day_of_week': 'tuesday'}, {'start': {'hour': 7, 'min': 0}, 'end': {'hour': 17, 'min': 0}, 'day_of_week': 'wednesday'}, {'start': {'hour': 7, 'min': 0}, 'end': {'hour': 17, 'min': 0}, 'day_of_week': 'thursday'}, {'start': {'hour': 7, 'min': 0}, 'end': {'hour': 17, 'min': 0}, 'day_of_week': 'friday'}]",6140a4bd2dc2260e43ffa307,shiraz-city,612b815e2d28e7b40b49ae91,جاذبه‌ی شهری,urban_attractions,"[29.6085479, 52.5486555]",4.769230769230769,52,"{'1': 0, '2': 0, '3': 3, '4': 6, '5': 43}"
8,61520714837b47a5692b18dd,نقش رستم,naqsh-e-rostam-shiraz,"[{'start': {'hour': 8, 'min': 0}, 'end': {'hour': 18, 'min': 30}, 'day_of_week': 'saturday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 18, 'min': 30}, 'day_of_week': 'sunday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 18, 'min': 30}, 'day_of_week': 'monday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 18, 'min': 30}, 'day_of_week': 'tuesday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 18, 'min': 30}, 'day_of_week': 'wednesday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 18, 'min': 30}, 'day_of_week': 'thursday'}, {'start': {'hour': 8, 'min': 0}, 'end': {'hour': 18, 'min': 30}, 'day_of_week': 'friday'}]",6140a4bd2dc2260e43ffa307,shiraz-city,612b815e2d28e7b40b49ae91,جاذبه‌ی شهری,urban_attractions,"[29.9885429, 52.8747317]",5.0,14,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 14}"
9,615208daa5e04db3e9ed4f14,سرای مشیر,saraye-moshir-shiraz,"[{'start': {'hour': 9, 'min': 0}, 'end': {'hour': 21, 'min': 0}, 'day_of_week': 'saturday'}, {'start': {'hour': 9, 'min': 0}, 'end': {'hour': 21, 'min': 0}, 'day_of_week': 'sunday'}, {'start': {'hour': 9, 'min': 0}, 'end': {'hour': 21, 'min': 0}, 'day_of_week': 'monday'}, {'start': {'hour': 9, 'min': 0}, 'end': {'hour': 21, 'min': 0}, 'day_of_week': 'tuesday'}, {'start': {'hour': 9, 'min': 0}, 'end': {'hour': 21, 'min': 0}, 'day_of_week': 'wednesday'}, {'start': {'hour': 9, 'min': 0}, 'end': {'hour': 21, 'min': 0}, 'day_of_week': 'thursday'}, {'start': {'hour': 9, 'min': 0}, 'end': {'hour': 21, 'min': 0}, 'day_of_week': 'friday'}]",6140a4bd2dc2260e43ffa307,shiraz-city,612b815e2d28e7b40b49ae91,جاذبه‌ی شهری,urban_attractions,"[29.6133452, 52.5455978]",4.846153846153846,13,"{'1': 0, '2': 0, '3': 0, '4': 2, '5': 11}"
10,6152bc10a5e04db3e9ed4f15,ارگ کریم خان زند,arg-karimkhan-zand-of-shiraz,"[{'start': {'hour': 9, 'min': 0}, 'end': {'hour': 21, 'min': 0}, 'day_of_week': 'saturday'}, {'start': {'hour': 9, 'min': 0}, 'end': {'hour': 21, 'min': 0}, 'day_of_week': 'sunday'}, {'start': {'hour': 9, 'min': 0}, 'end': {'hour': 21, 'min': 0}, 'day_of_week': 'monday'}, {'start': {'hour': 9, 'min': 0}, 'end': {'hour': 21, 'min': 0}, 'day_of_week': 'tuesday'}, {'start': {'hour': 9, 'min': 0}, 'end': {'hour': 21, 'min': 0}, 'day_of_week': 'wednesday'}, {'start': {'hour': 9, 'min': 0}, 'end': {'hour': 21, 'min': 0}, 'day_of_week': 'thursday'}, {'start': {'hour': 9, 'min': 0}, 'end': {'hour': 21, 'min': 0}, 'day_of_week': 'friday'}]",6140a4bd2dc2260e43ffa307,shiraz-city,612b815e2d28e7b40b49ae91,جاذبه‌ی شهری,urban_attractions,"[29.6174826, 52.5449802]",4.584905660377358,53,"{'1': 2, '2': 0, '3': 1, '4': 12, '5': 38}"
