name,coordinates,open_time,close_time,spending_time,slug_category,average_rating
ahoora-cafe-in-shiraz,"[29.6813671, 52.4631021]",570,1425,60,food,3.5555555555555554
forough-coffee-shop-in-shiraz,"[29.6166218, 52.4948866]",480,1440,60,food,4.555555555555555
sabouye-eshgh-restaurant-shiraz,"[29.6318262, 52.5440267]",720,1260,60,food,4.2
karimkhani-restaurant-shiraz,"[29.63679, 52.5440267]",480,1350,60,food,5.0
zarnegar-traditional-house-shiraz ,"[29.6083497, 52.5494753]",660,1380,60,food,4.428571428571429
moshirolmolk-mousque-shiraz,"[29.6106767, 52.5311708]",480,1080,120,urban_attractions,4.2727272727272725
bookland-cafe-shiraz,"[29.5917677, 52.5826947]",600,1320,60,food,4.285714285714286
hafez-shopping-mall-shiraz,"[29.626818, 52.506372]",360,1410,180,shopping,4.25
pasargad-garden-shiraz,"[30.200138, 53.1777692]",480,1140,120,urban_attractions,4.916666666666667
molkeparsi-recreational-restaurant-shiraz,"[29.7376678, 52.4380151]",720,1500,120,urban_attractions,4.75
chiaco-restaurant-shiraz,"[29.71133, 52.4434827]",720,1440,60,food,4.2
naqshe-rajab-shiraz,"[29.966091, 52.8870463]",480,1050,120,urban_attractions,4.5
shiraz-mall-shiraz,"[29.6328449, 52.4849009]",600,1380,180,shopping,4.714285714285714
goftogo-cafe-shiraz,"[29.6852743, 52.4720369]",960,1440,60,food,4.666666666666667
zhoo-cafe-restaurant-shiraz,"[29.623217, 52.505808]",480,1500,60,food,4.4
abi-cultural-center-shiraz,"[29.6431568, 52.4710868]",570,1410,120,urban_attractions,4.333333333333333
gabric-cafe-and-restaurant-hiraz,"[29.7181887, 52.4500636]",720,1500,60,food,4.4
humerz-retaurant-shiraz,"[29.6301358, 52.4971576]",480,1440,60,food,4.4
ehsan-garden-restaurant-shiraz,"[29.6466732, 52.4901775]",480,1440,60,food,4.2
doosi-resturant-shiraz,"[29.6165521, 52.5425136]",690,1410,60,food,3.2
lavia-fastfood-shiraz,"[29.6845843, 52.4651295]",660,1440,60,food,4.888888888888889
flowers-garden-shiraz,"[29.6921921, 52.4776883]",360,1200,120,urban_attractions,4.666666666666667
chehreh-negar-restaurant-shiraz,"[29.6177242, 52.5460201]",480,1440,60,food,4.666666666666667
fancy-confectionery-shiraz,"[29.6735301, 52.4569929]",540,1320,120,urban_attractions,4.2
armaghan-giah-complex-shiraz,"[29.657575, 52.4728699]",480,1440,120,urban_attractions,4.333333333333333
rose-gold-cafe-shiraz,"[29.6690341, 52.4760501]",480,1440,60,food,4.8
kobar-garden-restaurant-shiraz,"[29.648845, 52.501962]",1020,1500,60,food,4.333333333333333
besat-park-shiraz,"[29.6194811, 52.501335]",570,1290,120,urban_attractions,4.666666666666667
baba-abr-icecream-shiraz,"[29.6328026, 52.5390032]",540,1590,120,urban_attractions,4.0
salamat-walkway-shiraz,"[29.6773251, 52.4817861]",1110,1560,120,urban_attractions,4.5
taknaz-shopping-center-shiraz,"[29.6324673, 52.5537672]",540,1260,180,shopping,3.3333333333333335
negin-fars-shopping-center-adel-abad-shiraz,"[29.5805727, 52.5090539]",510,1440,180,shopping,2.6
