name,coordinates,open_time,close_time,spending_time,slug_category,average_rating,latitude,longitude
eram-garden-shiraz,"[52.5251428, 29.6360623]",480,1230,120,urban_attractions,4.925925925925926,52.5251428,29.6360623
natural-history-technology-museum,"[52.5721767, 29.5925335]",480,840,120,urban_attractions,4.454545454545454,52.5721767,29.5925335
afif-abad-garden-military-museum,"[52.4983724, 29.6231997]",540,1080,120,urban_attractions,4.5,52.4983724,29.6231997
persepolis-of-shiraz,"[52.89211299999999, 29.9355247]",480,1050,120,urban_attractions,4.8933333333333335,52.89211299999999,29.9355247
nasir-al-mulk-mosque-shiraz,"[52.5486555, 29.6085479]",420,1020,120,urban_attractions,4.769230769230769,52.5486555,29.6085479
naqsh-e-rostam-shiraz,"[52.8747317, 29.9885429]",480,1110,120,urban_attractions,5.0,52.8747317,29.9885429
saraye-moshir-shiraz,"[52.5455978, 29.6133452]",540,1260,120,urban_attractions,4.846153846153846,52.5455978,29.6133452
arg-karimkhan-zand-of-shiraz,"[52.5449802, 29.6174826]",540,1260,120,urban_attractions,4.584905660377358,52.5449802,29.6174826
jahan-nama-garden-of-shiraz,"[52.5573828, 29.6290154]",510,1230,120,urban_attractions,4.6875,52.5573828,29.6290154
tomb-of-hafez-shiraz,"[52.5578876, 29.6258231]",480,1260,120,urban_attractions,4.9423076923076925,52.5578876,29.6258231
vakil-bazaar-of-shiraz,"[52.5462429, 29.6140106]",480,1260,120,urban_attractions,4.923076923076923,52.5462429,29.6140106
narenjestan-qavam-garden-of-shiraz,"[52.5528616, 29.6080804]",480,1260,120,urban_attractions,5.0,52.5528616,29.6080804
afif-abad-garden-shiraz,"[52.5067912, 29.6278212]",480,1140,120,urban_attractions,4.8108108108108105,52.5067912,29.6278212
derak-highland-park-shiraz,"[52.4185205, 29.7011365]",480,1380,120,natural_attractions,4.25,52.4185205,29.7011365
bakuya-restaurant-complex-shiraz,"[52.5563805, 29.6355417]",720,1440,60,food,3.65625,52.5563805,29.6355417
shater-mohamad-kebab-shop-shiraz,"[52.5392262, 29.6322457]",570,1530,60,food,3.0,52.5392262,29.6322457
sharze-restaurant-shiraz,"[52.5461665, 29.615395]",660,1365,60,food,4.068965517241379,52.5461665,29.615395
manouchehri-garden-restaurant-shiraz,"[52.4216184, 29.7773679]",720,1440,60,food,3.5238095238095237,52.4216184,29.7773679
tin-restaurant-shiraz,"[52.521683, 29.6338634]",720,1380,60,food,3.0,52.521683,29.6338634
joy-fastfood-shiraz,"[52.4705212, 29.6777762]",480,1440,60,food,3.8,52.4705212,29.6777762
street-lounge-cafe-shiraz,"[52.459576, 29.6780138]",540,1365,60,food,3.2666666666666666,52.459576,29.6780138
joulep-cafe-restaurant-shiraz,"[52.5449918, 29.6149242]",480,1380,60,food,4.125,52.5449918,29.6149242
alto-board-game-cafe-shiraz,"[52.461592, 29.6374193]",1020,1440,60,food,4.333333333333333,52.461592,29.6374193
khwaju-kermani-tomb-in-shiraz,"[52.5624337, 29.63631]",480,1440,120,urban_attractions,4.625,52.5624337,29.63631
zinat-al-molk-historical-house-in-shiraz,"[52.5513568, 29.6078952]",480,1140,120,urban_attractions,4.823529411764706,52.5513568,29.6078952
khan-school,"[52.5473837, 29.61159]",420,1110,120,urban_attractions,4.833333333333333,52.5473837,29.61159
vakil-mosque-of-shiraz,"[52.5454873, 29.6143642]",480,1230,120,urban_attractions,4.818181818181818,52.5454873,29.6143642
mahooni-cafe-shiraz,"[52.5572158, 29.6289559]",480,1380,60,food,3.727272727272727,52.5572158,29.6289559
atigh-cafe-restaurant-shiraz,"[52.5393135, 29.6212122]",750,1350,60,food,3.5714285714285716,52.5393135,29.6212122
shahrzad-cafe-shiraz,"[52.4934623, 29.6344231]",480,1380,60,food,4.0,52.4934623,29.6344231
berke-garden-cafe-shiraz,"[52.4988085, 29.6251467]",990,1410,60,food,3.888888888888889,52.4988085,29.6251467
zhon-cafe-shiraz,"[52.4767418, 29.6372098]",540,1440,60,food,4.5,52.4767418,29.6372098
hedayat-cafe-shiraz,"[52.5231988, 29.62452]",510,1440,60,food,3.7142857142857144,52.5231988,29.62452
narenj-o-toranj-icecream-shiraz,"[52.5279807, 29.6245562]",480,1380,120,urban_attractions,4.125,52.5279807,29.6245562
baba-bastani-icecream-shiraz,"[52.5319245, 29.6376647]",540,1380,120,urban_attractions,3.4615384615384617,52.5319245,29.6376647
derak-icecream-shiraz,"[52.4648392, 29.6399085]",510,1425,120,urban_attractions,4.0,52.4648392,29.6399085
saadi-cinema-shiraz,"[52.5221412, 29.6217717]",690,1290,120,urban_attractions,3.6666666666666665,52.5221412,29.6217717
atigh-jameh-mosque-shiraz,"[52.5445862, 29.6081332]",480,1140,120,urban_attractions,4.291666666666667,52.5445862,29.6081332
tomb-of-saadi-shiraz,"[52.5831789, 29.6224945]",510,1410,120,urban_attractions,4.857142857142857,52.5831789,29.6224945
art-garden-shiraz,"[52.5018952, 29.6196116]",480,1380,120,urban_attractions,4.4,52.5018952,29.6196116
luna-amusement-park-shiraz,"[52.5573888, 29.6353302]",480,1440,120,urban_attractions,4.083333333333333,52.5573888,29.6353302
aftab-riding-club-shiraz,"[52.5245582, 29.5320359]",540,1380,120,urban_attractions,4.666666666666667,52.5245582,29.5320359
waterland-shiraz,"[52.6408643, 29.5831353]",600,1140,120,urban_attractions,3.5714285714285716,52.6408643,29.5831353
